"","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018"
"Estimate..INCOME.AND.BENEFITS..IN.2009.INFLATION.ADJUSTED.DOLLARS...Median.household.income..dollars.",40583,47613,50366,52440,55525,55823,53545,55386,58245,58016
"Estimate..INCOME.AND.BENEFITS..IN.2009.INFLATION.ADJUSTED.DOLLARS...Mean.household.income..dollars.",55914,59471,59483,63450,68670,71216,71877,80597,84933,72886
"Estimate..OCCUPATION..Civilian.employed.population.16.years.and.over..Management..professional..and.related.occupations",1298,1504,1715,2380,2839,2931,3078,3168,3348,3367
"Estimate..OCCUPATION..Civilian.employed.population.16.years.and.over..Service.occupations",388,324,434,527,556,505,604,675,669,822
"Estimate..OCCUPATION..Civilian.employed.population.16.years.and.over..Sales.and.office.occupations",711,806,786,901,844,866,798,867,946,1130
"Estimate..OCCUPATION..Civilian.employed.population.16.years.and.over..Construction..extraction..maintenance..and.repair.occupations",125,119,93,93,133,33,13,36,82,87
"Estimate..OCCUPATION..Civilian.employed.population.16.years.and.over..Production..transportation..and.material.moving.occupations",183,140,129,177,232,182,291,379,358,363
"less.14999",508,400,460,521,644,641,651,691,591,481
"X15000.34999",742,765,783,831,861,745,839,772,891,951
"X35000.74999",781,942,1126,1314,1456,1619,1624,1713,1761,1905
"X75000.149999",522,670,753,962,1189,1129,1120,1238,1314,1515
"more.150000",185,164,192,299,323,265,351,417,517,458
